Season,Player,Profile URL,Position,Current Club,Market Value
2014/2015,Chedli Ghrab,https://www.transfermarkt.com/chedli-ghrab/profil/spieler/253465,Right Winger,Progrès Sportif Sakiet Eddaier,€250k
2024/2025,Chiheb Jebali,https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,Attacking Midfield,Esperance Tunis,€1.00m
2014/2015,Daouda Camara,https://www.transfermarkt.com/daouda-camara/profil/spieler/304141,Daouda Camara,El Alameen SC,€50k
2024/2025,Elias Mokwana,https://www.transfermarkt.com/elias-mokwana/profil/spieler/968496,Right Winger,Al-Hazem SC,€750k
2024/2025,Elyas Bouzaiene,https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,Right-Back,Esperance Tunis,€300k
2016/2017,Elyes Jelassi,https://www.transfermarkt.com/elyes-jelassi/profil/spieler/292219,Attacking Midfield,Stade Tunisien,€250k
2012/2013,Emeka Emerun,https://www.transfermarkt.com/emeka-emerun/profil/spieler/215519,Left Winger,Without Club,€75k
2013/2014,Ernest Thierry Anang,https://www.transfermarkt.com/ernest-thierry-anang/profil/spieler/307280,Ernest Thierry Anang,Al-Bahri SC,
2017/2018,Fakhreddine Ben Youssef,https://www.transfermarkt.com/fakhreddine-ben-youssef/profil/spieler/218058,Centre-Forward,Without Club,€1.00m
2023/2024,Farouk Mimouni,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,Left Winger,Union Sportive de Ben Guerdane,€100k
2021/2022,Fedi Ben Choug,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,Attacking Midfield,Etoile Sportive du Sahel,€300k
2017/2018,Ferid Matri,https://www.transfermarkt.com/ferid-matri/profil/spieler/147022,Centre-Back,Without Club,€75k
2017/2018,Ferjani Sassi,https://www.transfermarkt.com/ferjani-sassi/profil/spieler/191903,Central Midfield,Al-Gharafa SC,€1.60m
2022/2023,Fousseny Coulibaly,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Centre-Back,Asswehly SC,€900k
2018/2019,Franck Kom,https://www.transfermarkt.com/franck-kom/profil/spieler/148518,Defensive Midfield,Emirates Club,€1.00m
2023/2024,Ghaith Ouahabi,https://www.transfermarkt.com/ghaith-ouahabi/profil/spieler/1008453,Defensive Midfield,Dinamo Batumi,€450k
2021/2022,Ghassen Mahersi,https://www.transfermarkt.com/ghassen-mahersi/profil/spieler/1008452,Left-Back,ES Zarzis,€25k
2023/2024,Ghaylen Chaalali,https://www.transfermarkt.com/ghaylen-chaalali/profil/spieler/346776,Central Midfield,Al-Ahli SC,€900k
2020/2021,Hamdi Nagguez,https://www.transfermarkt.com/hamdi-nagguez/profil/spieler/272664,Hamdi Nagguez,Al-Shahania SC,€800k
2022/2023,Hamdou El Houni,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,Hamdou El Houni,Al-Ahli SC,€1.40m
2015/2016,Hamza Ben Cherifia,https://www.transfermarkt.com/hamza-ben-cherifia/profil/spieler/295380,Hamza Ben Cherifia,Etoile Sportive Metlaoui,
2023/2024,Hamza Ghanmi,https://www.transfermarkt.com/hamza-ghanmi/profil/spieler/577882,Hamza Ghanmi,ES Zarzis,€175k
2024/2025,Hamza Jelassi,https://www.transfermarkt.com/hamza-jelassi/profil/spieler/244044,Hamza Jelassi,Esperance Tunis,€400k
2014/2015,Hamza Letifi,https://www.transfermarkt.com/hamza-letifi/profil/spieler/376089,Hamza Letifi,Sporting Club de Ben Arous,
2023/2024,Hani Amamou,https://www.transfermarkt.com/hani-amamou/profil/spieler/468681,Hani Amamou,Without Club,€200k
2014/2015,Hassen Harbaoui,https://www.transfermarkt.com/hassen-harbaoui/profil/spieler/154736,Hassen Harbaoui,US Siliana,€300k
2024/2025,Haythem Dhaou,https://www.transfermarkt.com/haythem-dhaou/profil/spieler/1402922,Left Winger,Esperance Tunis,€25k
2019/2020,Haythem Jouini,https://www.transfermarkt.com/haythem-jouini/profil/spieler/146519,Centre-Forward,Al-Quwa Al-Jawiya,€350k
