Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Moez Ben Cherifia,2019/2020,1,29,"1,82 m",Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/143581-1523616475.jpg?lm=1,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,AS Soliman,https://www.transfermarkt.com/as-soliman/startseite/verein/52128,https://tmssl.akamaized.net//images/wappen/kaderquad/52128.png?lm=1468792418,Tunisia,€800k
Rami Jeridi,2019/2020,19,35,"1,84 m",Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/122489-1589450102.jpg?lm=1,https://www.transfermarkt.com/rami-jeridi/profil/spieler/122489,Cebu,https://www.transfermarkt.com/dynamic-herb-cebu-fc/startseite/verein/92045,https://tmssl.akamaized.net//images/wappen/kaderquad/92045.png?lm=1676721717,Philippines,€400k
Mohamed Sedki Debchi,2019/2020,21,20,"1,95 m",Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/572190-1524331232.jpg?lm=1,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Esperance,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/kaderquad/3342.png?lm=1673031552,Tunisia,€300k
Wassim Karoui,2019/2020,,23,"1,86 m",Goalkeeper,Tunisia,,https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Without Club,https://www.transfermarkt.com/vereinslos/startseite/verein/515,,,€150k
Fousseny Coulibaly,2019/2020,15,27,,Centre-Back,Cote d'Ivoire,,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Without Club,,,,€1.00m
Abdelkader Bedrane,2019/2020,30,28,"1,85 m",Centre-Back,Algeria,https://img.a.transfermarkt.technology/portrait/header/376649-1680214671.JPG?lm=1,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Damac FC,https://www.transfermarkt.com/damac-fc/startseite/verein/50532,https://tmssl.akamaized.net//images/wappen/kaderquad/50532.png?lm=1756255283,,€650k
Khalil Chemmam,2019/2020,12,32,"1,80 m",Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_108831_3342_2014_02_19_1.jpg?lm=1,https://www.transfermarkt.com/khalil-chemmam/profil/spieler/108831,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€600k
Chamseddine Dhaouadi,2019/2020,5,33,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/chamseddine-dhaouadi/profil/spieler/133227,Without Club,,,,€550k
Mohamed Amine Tougai,2019/2020,4,20,,Attacking Midfield,Algeria,,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Without Club,,,,€500k
Mohamed Ali Yaakoubi,2019/2020,6,29,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,Without Club,,,,€475k
