Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Moez Ben Cherifia,2019/2020,1,1,"1,82 m",1,Tunisia,,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,AS Soliman,https://www.transfermarkt.com/as-soliman/startseite/verein/52128,,,€800k
Rami Jeridi,2019/2020,19,19,"1,84 m",19,Tunisia,,https://www.transfermarkt.com/rami-jeridi/profil/spieler/122489,Cebu,https://www.transfermarkt.com/dynamic-herb-cebu-fc/startseite/verein/92045,,,€400k
Mohamed Sedki Debchi,2019/2020,21,21,"1,95 m",21,Tunisia,,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Esperance,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,,,€300k
Wassim Karoui,2019/2020,23,23,"1,86 m",-,Tunisia,,https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Without Club,https://www.transfermarkt.com/vereinslos/startseite/verein/515,,,€150k
Fousseny Coulibaly,2019/2020,15,15,"1,93 m",15,Cote d'Ivoire,,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Asswehly,https://www.transfermarkt.com/asswehly-sports-club/startseite/verein/38559,,,€1.00m
Abdelkader Bedrane,2019/2020,30,30,"1,85 m",30,Algeria,,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Damac FC,https://www.transfermarkt.com/damac-fc/startseite/verein/50532,,,€650k
Khalil Chemmam,2019/2020,12,12,"1,80 m",12,Tunisia,,https://www.transfermarkt.com/khalil-chemmam/profil/spieler/108831,,,,,€600k
Chamseddine Dhaouadi,2019/2020,5,5,,5,Tunisia,,https://www.transfermarkt.com/chamseddine-dhaouadi/profil/spieler/133227,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€550k
Mohamed Amine Tougai,2019/2020,4,4,"1,91 m",4,Algeria,,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Esperance,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,,,€500k
Mohamed Ali Yaakoubi,2019/2020,6,6,,6,Tunisia,,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,,,,,€475k
Ilyes Chetti,2019/2020,23,23,,23,Algeria,,https://www.transfermarkt.com/ilyes-chetti/profil/spieler/477834,,,,,€600k
Houcine Rabii,2019/2020,26,26,,26,Tunisia,,https://www.transfermarkt.com/houcine-rabii/profil/spieler/337291,,,,,€300k
Mohamed Amine Ben Hamida,2019/2020,20,20,,20,Tunisia,,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,,,,,€100k
Iheb Mbarki,2019/2020,24,24,,24,Tunisia,,https://www.transfermarkt.com/iheb-mbarki/profil/spieler/122374,,,,,€600k
Sameh Derbali,2019/2020,22,22,,22,Tunisia,,https://www.transfermarkt.com/sameh-derbali/profil/spieler/69097,,,,,€325k
Raed Fadaa,2019/2020,13,13,,13,Tunisia,,https://www.transfermarkt.com/raed-fadaa/profil/spieler/537392,Without Club,https://www.transfermarkt.com/vereinslos/startseite/verein/515,,,€300k
Samuel Atvati,2019/2020,2,2,,2,Nigeria,,https://www.transfermarkt.com/samuel-atvati/profil/spieler/628191,,,,,€175k
Kwame Bonsu,2019/2020,3,3,,3,Ghana,,https://www.transfermarkt.com/kwame-bonsu/profil/spieler/269558,Al-Jandal,https://www.transfermarkt.com/al-jandal-sc/startseite/verein/78886,,,€350k
Mohamed Amine Meskini,2019/2020,28,28,,28,Tunisia,,https://www.transfermarkt.com/mohamed-amine-meskini/profil/spieler/422389,Al-Watan,https://www.transfermarkt.com/al-watan-club/startseite/verein/113299,,,€325k
Badreddine Mouelhi,2019/2020,21,21,"1,87 m",-,Tunisia,,https://www.transfermarkt.com/badreddine-mouelhi/profil/spieler/807057,,,,,
Abdelraouf Benguit,2019/2020,18,18,"1,74 m",18,Algeria,,https://www.transfermarkt.com/abdelraouf-benguit/profil/spieler/345810,CR Belouizdad,https://www.transfermarkt.com/cr-belouizdad/startseite/verein/13365,,,€950k
Mohamed Ali Ben Romdhane,2019/2020,27,27,,27,Tunisia,,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Ahly SC,https://www.transfermarkt.com/el-ahly-kairo/startseite/verein/7,,,€400k
Youssef Mosrati,2019/2020,29,29,"1,71 m",29,Tunisia,,https://www.transfermarkt.com/youssef-mosrati/profil/spieler/651142,,,,,€50k
Hamdou El Houni,2019/2020,10,10,,10,Libya,,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,,,,,€725k
Fedi Ben Choug,2019/2020,25,25,,25,Tunisia,,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,,,,,€475k
Abderrahmane Meziane,2019/2020,17,17,,17,Algeria,,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,,,,,€800k
Billel Bensaha,2019/2020,7,7,,7,Algeria,,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,,,,,€325k
Maher Ben Seghaier,2019/2020,16,16,,16,Tunisia,,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,,,,,€250k
Farouk Mimouni,2019/2020,19,19,,-,Tunisia,,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,US Ben Guerdane,https://www.transfermarkt.com/union-sportive-de-ben-guerdane/startseite/verein/30507,,,
Tayeb Meziani,2019/2020,20,20,,20,Algeria,,https://www.transfermarkt.com/tayeb-meziani/profil/spieler/373035,,,,,€300k
Anice Badri,2019/2020,29,29,,-,Tunisia,,https://www.transfermarkt.com/anice-badri/profil/spieler/164925,AFC Dubai,https://www.transfermarkt.com/afc-dubai/startseite/verein/124022,,,€1.60m
Taha Yassine Khenissi,2019/2020,11,11,,11,Tunisia,,https://www.transfermarkt.com/taha-yassine-khenissi/profil/spieler/142252,Kuwait SC,https://www.transfermarkt.com/kuwait-sc/startseite/verein/15482,,,€1.00m
Ibrahim Ouattara,2019/2020,9,9,"1,85 m",9,Cote d'Ivoire,,https://www.transfermarkt.com/ibrahim-ouattara/profil/spieler/515138,,,,,€725k
Haythem Jouini,2019/2020,27,27,,-,Tunisia,,https://www.transfermarkt.com/haythem-jouini/profil/spieler/146519,,,,,€350k
Mohamed Ali Ben Hammouda,2019/2020,2,2,,2,Tunisia,,https://www.transfermarkt.com/mohamed-ali-ben-hammouda/profil/spieler/700169,,,,,€325k
Junior Lokosa,2019/2020,29,29,,29,Nigeria,,https://www.transfermarkt.com/junior-lokosa/profil/spieler/584674,,,,,€325k
Zied Berrima,2019/2020,16,16,,16,Tunisia,,https://www.transfermarkt.com/zied-berrima/profil/spieler/645530,,,,,€100k
Youssef Abdelli,2019/2020,14,14,,14,Tunisia,,https://www.transfermarkt.com/youssef-abdelli/profil/spieler/700702,,,,,€25k
