Player,Season,EST_Seasons,Total_EST_Seasons,Jersey_Number,Age,Birth_Date,Height,Preferred_Foot,Position,Detailed_Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Club_Country,Club_Logo,Club_Founded,Market_Value,Contract_Expires,Agent
Younes Rached,2024/2025,2024/2025,1,,,10.04.1999 (26),,,Left Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/younes-rached/profil/spieler/849542,Esperance Tunis,,,,,,€400k,,
Mohamed Rayane Hamrouni,2024/2025,2024/2025,1,39,,29.01.2003 (22),"1,81 m",,Mohamed Rayane Hamrouni,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-rayane-hamrouni/profil/spieler/1008449,Esperance Tunis,,,,,,€200k,,
Haythem Dhaou,2024/2025,2024/2025,1,12,,12.01.2005 (20),"1,63 m",,Left Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/haythem-dhaou/profil/spieler/1402922,Esperance Tunis,,,,,,€25k,,
Jack Diarra,2024/2025,2024/2025,1,,,16.06.2006 (19),"1,74 m",,Left Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/jack-diarra/profil/spieler/1133779,Esperance Tunis,,,,,,,,
Yan Sasse,2024/2025,2024/2025,1,10,,24.06.1997 (28),"1,73 m",,Right Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/yan-sasse/profil/spieler/469136,Esperance Tunis,,,,,,€1.80m,,
Elias Mokwana,2024/2025,2024/2025,1,24,,08.09.1999 (26),"1,75 m",,Right Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/elias-mokwana/profil/spieler/968496,Esperance Tunis,,,,,,€750k,,
Koussay Maacha,2024/2025,2024/2025,1,30,,21.05.2007 (18),"1,78 m",,Right Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/koussay-maacha/profil/spieler/1258261,Esperance Tunis,,,,,,€200k,,
Bilel Sahli,2024/2025,2024/2025,1,,,06.11.2003 (21),"1,86 m",,Second Striker,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/bilel-sahli/profil/spieler/710593,Esperance Tunis,,,,,,,,
Rodrigo Rodrigues,2024/2025,2024/2025,1,9,,18.06.1996 (29),"1,91 m",,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/rodrigo-rodrigues/profil/spieler/638262,Esperance Tunis,,,,,,€850k,,
Achref Jabri,2024/2025,2024/2025,1,19,,16.12.2001 (23),"1,80 m",,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,Esperance Tunis,,,,,,€500k,,
Youssef Abdelli,2024/2025,2024/2025,1,,,09.09.1998 (27),"1,83 m",,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/youssef-abdelli/profil/spieler/700702,Esperance Tunis,,,,,,€400k,,
Ahmed Bouassida,2024/2025,2024/2025,1,,,09.07.2004 (21),"1,92 m",,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,Esperance Tunis,,,,,,€275k,,
Kebba Sowe,2024/2025,2024/2025,1,,,08.08.2005 (20),"1,90 m",,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/kebba-sowe/profil/spieler/669379,Esperance Tunis,,,,,,€200k,,
Zinedine Kada,2024/2025,2024/2025,1,28,,01.08.2005 (20),"1,79 m",,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/zinedine-kada/profil/spieler/1248972,Esperance Tunis,,,,,,€150k,,
Aboubacar Diakité,2024/2025,2024/2025,1,40,,,,,Centre-Forward,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,Esperance Tunis,,,,,,€75k,,
