Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Alaeddine Marzouki,2021/2022,7,35,1.84m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/210051-1648058288.jpg?lm=1,https://www.transfermarkt.com/alaeddine-marzouki/profil/spieler/210051,Hajer Club,https://www.transfermarkt.com/hajer-club/startseite/verein/32343,https://tmssl.akamaized.net//images/wappen/small/32343.png?lm=1694657600,,€450k
Ali Abdi,2015/2016,2,31,1.83m,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/211474-1756827001.jpg?lm=1,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417,https://tmssl.akamaized.net//images/wappen/small/417.png?lm=1408779490,France,€175k
Ali Jemal,2018/2019,23,35,1.92m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/221355-1620045310.jpg?lm=1,https://www.transfermarkt.com/ali-jemal/profil/spieler/221355,Al-Tadamon Mukalla,https://www.transfermarkt.com/al-tadamon-mukalla/startseite/verein/94188,https://tmssl.akamaized.net//images/wappen/small/94188.png?lm=1757111030,,€300k
Ali Machani,2018/2019,2,32,1.86m,Centre-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/ali-machani/profil/spieler/171002,Retired,,,,€550k
Amanallah Lakoud,2018/2019,,27,1.74m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/amanallah-lakoud/profil/spieler/634699,CS Hajeb El Ayoun,https://www.transfermarkt.com/cs-hajeb-el-ayoun/startseite/verein/88901,https://tmssl.akamaized.net//images/wappen/small/88901.png?lm=1616250979,,
Amanallah Memmiche,2025/2026,1,21,1.91m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/amanallah-memmiche/profil/spieler/1063397,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€800k
Amanallah Mjahed,2025/2026,,22,,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/amanallah-mjahed/profil/spieler/1008462,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€350k
Amenallah Frikhi,2023/2024,,21,,,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/amenallah-frikhi/profil/spieler/1264546,Esperance Tunis U21,https://www.transfermarkt.com/esperance-tunis-u21/startseite/verein/31167,https://tmssl.akamaized.net//images/wappen/small/31167.png?lm=1673031553,,
Aminou Bouba,2013/2014,6,34,1.93m,Centre-Back,Cameroon,https://img.a.transfermarkt.technology/portrait/header/263233-1650474175.jpg?lm=1,https://www.transfermarkt.com/aminou-bouba/profil/spieler/263233,Without Club,,,,€100k
Anayo Iwuala,2021/2022,17,26,1.65m,Left Winger,Nigeria,https://img.a.transfermarkt.technology/portrait/header/686200-1706462354.jpg?lm=1,https://www.transfermarkt.com/anayo-iwuala/profil/spieler/686200,Al-Arabi SC (Kuwait),https://www.transfermarkt.com/al-arabi-sc-kuwait/startseite/verein/15481,https://tmssl.akamaized.net//images/wappen/small/15481.png?lm=1705881599,,€900k
