Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Ayman Ben Mohamed,2023/2024,,,,Left-Back,Tunisia,,https://www.transfermarkt.com/ayman-ben-mohamed/profil/spieler/249446,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€350k
Aymen Ben Amor,2012/2013,,,,Right-Back,Tunisia,,https://www.transfermarkt.com/aymen-ben-amor/profil/spieler/111951,FC Hammamet,,https://tmssl.akamaized.net//images/wappen/verysmall/42575.png?lm=1459608639,,€100k
Aymen Mahmoud,2018/2019,3,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/aymen-mahmoud/profil/spieler/370034,Diyala SC,,https://tmssl.akamaized.net//images/wappen/verysmall/42036.png?lm=1751972748,,€350k
Aziz Abid,2023/2024,21,,,Left Winger,Tunisia,,https://www.transfermarkt.com/aziz-abid/profil/spieler/1008460,US Monastir,,https://tmssl.akamaized.net//images/wappen/verysmall/9890.png?lm=1563116766,,€150k
Aziz Fellah,2025/2026,,-2,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/aziz-fellah/profil/spieler/797780,Without Club,,,,€50k
Aziz Koudhai,2025/2026,,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/aziz-koudhai/profil/spieler/1359369,Without Club,,,,€25k
Badreddine Mouelhi,2019/2020,,,,Defensive Midfield,Tunisia,,https://www.transfermarkt.com/badreddine-mouelhi/profil/spieler/807057,EO Sidi Bouzid,,https://tmssl.akamaized.net//images/wappen/verysmall/44805.png?lm=1673031867,,
Bechir Ben Said,2025/2026,32,-2,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/bechir-ben-said/profil/spieler/348144,Without Club,,,,€650k
Bernard Bulbwa,2016/2017,7,,,Right Winger,Nigeria,,https://www.transfermarkt.com/bernard-bulbwa/profil/spieler/364294,Suez SC,,https://tmssl.akamaized.net//images/wappen/verysmall/30564.png?lm=1479750969,,€150k
Bilel Ben Brahim,2013/2014,,,,Right-Back,Tunisia,,https://www.transfermarkt.com/bilel-ben-brahim/profil/spieler/121175,FC Hammamet,,https://tmssl.akamaized.net//images/wappen/verysmall/42575.png?lm=1459608639,,€125k
Bilel Chabbar,2023/2024,34,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/bilel-chabbar/profil/spieler/841507,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€125k
