Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Mohamed Ali Ben Romdhane,2019/2020,27,20,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Ahly SC,https://www.transfermarkt.com/el-ahly-kairo/startseite/verein/7,https://tmssl.akamaized.net//images/wappen/kaderquad/7.png?lm=1745704549,Egypt,€400k
Youssef Mosrati,2019/2020,29,20,1.71 m,,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/youssef-mosrati/profil/spieler/651142,Al Tersana,https://www.transfermarkt.com/al-tirsana-tripoli/startseite/verein/35063,https://tmssl.akamaized.net//images/wappen/kaderquad/35063.png?lm=1734761162,,€50k
Hamdou El Houni,2019/2020,10,26,,Attacking Midfield,Libya,,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,Al-Ahli,https://www.transfermarkt.com/al-ahly-tripoli/startseite/verein/13504,https://tmssl.akamaized.net//images/wappen/kaderquad/13504.png?lm=1734761743,Libya,€725k
Fedi Ben Choug,2019/2020,25,25,,,Tunisia,,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,ES Sahel,https://www.transfermarkt.com/etoile-sportive-du-sahel/startseite/verein/250,https://tmssl.akamaized.net//images/wappen/kaderquad/250.png?lm=1584825425,,€475k
Abderrahmane Meziane,2019/2020,17,26,1.68 m,Left Winger,Algeria,https://img.a.transfermarkt.technology/portrait/header/321198-1755272078.jpg?lm=1,https://www.transfermarkt.com/abderrahmane-meziane/profil/spieler/321198,CR Belouizdad,https://www.transfermarkt.com/cr-belouizdad/startseite/verein/13365,https://tmssl.akamaized.net//images/wappen/kaderquad/13365.png?lm=1695752455,Algeria,€800k
Billel Bensaha,2019/2020,7,26,,Left Winger,Algeria,,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,Access Blocked,,,,€325k
Maher Ben Seghaier,2019/2020,16,24,,Left Winger,Tunisia,,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,ES Sahel,https://www.transfermarkt.com/etoile-sportive-du-sahel/startseite/verein/250,https://tmssl.akamaized.net//images/wappen/kaderquad/250.png?lm=1584825425,Tunisia,€250k
Farouk Mimouni,2019/2020,,19,,Left Winger,Tunisia,,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,US Ben Guerdane,https://www.transfermarkt.com/union-sportive-de-ben-guerdane/startseite/verein/30507,,Tunisia,
Tayeb Meziani,2019/2020,20,24,,Right Winger,Algeria,,https://www.transfermarkt.com/tayeb-meziani/profil/spieler/373035,MC Algiers,https://www.transfermarkt.com/mc-algier/startseite/verein/8850,https://tmssl.akamaized.net//images/wappen/kaderquad/8850.png?lm=1729529148,Algeria,€300k
Anice Badri,2019/2020,,29,1.77 m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_164925_12765_2010_1.jpg?lm=1,https://www.transfermarkt.com/anice-badri/profil/spieler/164925,AFC Dubai,https://www.transfermarkt.com/afc-dubai/startseite/verein/124022,,,€1.60m
Taha Yassine Khenissi,2019/2020,11,28,1.80 m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/142252-1696864510.jpg?lm=1,https://www.transfermarkt.com/taha-yassine-khenissi/profil/spieler/142252,Kuwait SC,https://www.transfermarkt.com/kuwait-sc/startseite/verein/15482,https://tmssl.akamaized.net//images/wappen/kaderquad/15482.png?lm=1420983445,,€1.00m
Ibrahim Ouattara,2019/2020,9,29,,Right Winger,Cote d'Ivoire,,https://www.transfermarkt.com/ibrahim-ouattara/profil/spieler/515138,Retired,https://www.transfermarkt.com/retired/startseite/verein/123,,,€725k
Haythem Jouini,2019/2020,,27,1.85 m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/s_146519_3342_2014_02_19_1.jpg?lm=1,https://www.transfermarkt.com/haythem-jouini/profil/spieler/146519,Access Blocked,,,,€350k
Mohamed Ali Ben Hammouda,2019/2020,2,21,1.90 m,Attacking Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/700169-1613892859.jpg?lm=1,https://www.transfermarkt.com/mohamed-ali-ben-hammouda/profil/spieler/700169,CR Belouizdad,https://www.transfermarkt.com/cr-belouizdad/startseite/verein/13365,https://tmssl.akamaized.net//images/wappen/kaderquad/13365.png?lm=1695752455,Algeria,€325k
Junior Lokosa,2019/2020,29,26,1.78 m,Right Winger,Nigeria,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/junior-lokosa/profil/spieler/584674,Without Club,https://www.transfermarkt.com/vereinslos/startseite/verein/515,,,€325k
Zied Berrima,2019/2020,16,19,1.81 m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/zied-berrima/profil/spieler/645530,Access Blocked,,,,€100k
Youssef Abdelli,2019/2020,14,21,1.83 m,Right Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/700702-1632991511.png?lm=1,https://www.transfermarkt.com/youssef-abdelli/profil/spieler/700702,Access Blocked,,,,€25k
